team,fullName,birthDate,currentAge,birthCity,birthCountry,nationality,height,weight,active,captain,alternateCaptain,rookie,shootsCatches,rosterStatus,primaryNumber,position,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,PTS/60
NJD,Brendan Smith,1989-02-08,33,Mimico,CAN,CAN,"6' 2""",200,True,False,False,False,L,Y,2,D,26:44,0,0,2,2,2,5,0,0,00:00,24:34,2,0.0,0.0,0,0,0,0,02:10,3,-3,0,42,13:22,12:17,01:05,00:00,0.0
NJD,Tomas Tatar,1990-12-01,31,Ilava,SVK,SVK,"5' 10""",173,True,False,False,False,L,Y,90,LW,31:06,0,0,4,3,2,2,0,0,05:45,25:21,4,66.67,0.0,0,0,0,0,00:00,2,-2,0,40,15:33,12:40,00:00,02:52,0.0
NJD,Erik Haula,1991-03-23,31,Pori,FIN,FIN,"5' 11""",191,True,False,False,False,L,Y,56,LW,34:59,0,0,0,6,2,3,0,0,04:38,23:42,0,75.61,0.0,0,0,0,0,06:39,0,1,0,48,17:29,11:51,03:19,02:19,0.0
NJD,Ondrej Palat,1991-03-28,31,Frydek-Mistek,CZE,CZE,"6' 0""",194,True,False,True,False,L,Y,18,LW,35:31,0,0,0,1,2,5,0,0,04:49,29:02,0,0.0,0.0,0,0,0,0,01:40,0,-5,0,45,17:45,14:31,00:50,02:24,0.0
NJD,Dougie Hamilton,1993-06-17,29,Toronto,CAN,CAN,"6' 6""",230,True,False,False,False,R,Y,7,D,45:22,1,1,2,7,2,2,0,0,06:54,36:15,2,0.0,14.3,0,0,0,0,02:13,1,0,2,54,22:41,18:07,01:06,03:27,2.645113886847906
NJD,Damon Severson,1994-08-07,28,Melville,CAN,CAN,"6' 2""",205,True,False,False,False,R,Y,28,D,42:54,0,1,0,3,2,1,0,0,03:01,35:46,0,0.0,33.3,0,0,0,0,04:07,3,-4,1,49,21:27,17:53,02:03,01:30,1.3986013986013988
NJD,Miles Wood,1995-09-13,27,Buffalo,USA,USA,"6' 2""",195,True,False,False,False,L,Y,44,LW,23:25,0,1,4,4,2,3,0,0,02:47,19:53,4,0.0,25.0,0,0,0,0,00:45,0,1,1,38,11:42,09:56,00:22,01:23,2.5641025641025643
NJD,Ryan Graves,1995-05-21,27,Yarmouth,CAN,CAN,"6' 5""",220,True,False,False,False,L,Y,33,D,32:52,0,0,0,6,2,3,0,0,00:00,29:50,0,0.0,0.0,0,0,0,0,03:02,2,-4,0,41,16:26,14:55,01:31,00:00,0.0
NJD,Jonas Siegenthaler,1997-05-06,25,Zurich,CHE,CHE,"6' 2""",218,True,False,False,False,L,Y,71,D,40:49,1,0,0,2,2,2,0,0,00:13,34:09,0,0.0,0.0,0,0,0,0,06:27,2,0,1,50,20:24,17:04,03:13,00:06,1.4705882352941178
NJD,John Marino,1997-05-21,25,North Easton,USA,USA,"6' 1""",181,True,False,False,False,R,Y,6,D,42:14,0,0,0,2,2,1,0,0,00:00,35:39,0,0.0,0.0,0,0,0,0,06:35,1,-1,0,57,21:07,17:49,03:17,00:00,0.0
